user_id,username,department,role,status,hostname_count,device_count,iam_events,iam_failed_auth,iam_mfa_failures,iam_high_risk_events,iam_avg_risk_score,iam_max_risk_score,iam_hostname_count,iam_session_count,endpoint_alerts,endpoint_critical_alerts,endpoint_high_alerts,endpoint_unresolved_critical,endpoint_malware_alerts,endpoint_credential_alerts,endpoint_lateral_movement,endpoint_powershell,endpoint_tampering,endpoint_usb,endpoint_impossible_resolution,endpoint_hostname_count,termination_date,post_termination_iam_events,post_termination_endpoint_events,post_termination_activity,post_termination_activity_flag,authentication_risk,iam_risk,endpoint_severity_risk,threat_behavior_risk,contextual_risk,cross_signal_bonus,risk_score,risk_level,risk_band,risk_drivers
EMP10000,vrinda.dua82,Human Resources,Analyst,Active,1,1,6.0,0.0,2,2.0,62.0,91.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,,0,0,0,False,3.0,4.0,0.0,11.0,0.0,0,18.0,Low,Low,2 high-risk IAM events; 1 credential-access alerts; 1 PowerShell alerts
EMP10001,anjali.sandal70,People,Specialist,Active,1,0,5.0,2.0,4,2.0,52.5,86.0,1.0,3.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,0,False,8.0,4.0,2.0,18.0,0.0,10,42.0,Medium,Medium,"elevated authentication risk (2 failed auth, 4 MFA failures); 2 high-risk IAM events; 3 malware alerts; 1 credential-access alerts"
EMP10002,xalak.tiwari72,Sales,Officer,Active,1,1,5.0,2.0,4,1.0,47.6,97.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,0,0,0,False,8.0,2.0,0.0,8.0,0.0,5,23.0,Low,Low,"elevated authentication risk (2 failed auth, 4 MFA failures); 1 high-risk IAM events; 2 lateral-movement alerts"
EMP10003,orinder.buch21,Legal,Consultant,On Leave,1,1,3.0,1.0,1,0.0,35.0,35.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,,0,0,0,False,2.5,0.0,0.0,16.0,0.0,5,23.5,Low,Low,1 failed authentication events; 1 malware alerts; 1 credential-access alerts; 1 PowerShell alerts
EMP10004,ekalinga.balan13,Operations,Consultant,Active,1,1,8.0,3.0,3,0.0,42.0,63.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0,0,0,False,7.5,0.0,7.0,12.0,2.0,0,28.5,Medium,Medium,3 failed authentication events; 5 malware alerts; 1 critical endpoint alerts; 1 unresolved critical alerts
EMP10005,adweta.seth11,Customer Support,Administrator,Inactive,1,1,8.0,2.0,3,3.0,46.38,84.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2026-01-27 01:48:14,6,2,8,True,6.5,6.0,2.0,9.0,10.0,3,36.5,Medium,Medium,2 failed authentication events; 3 high-risk IAM events; 1 malware alerts; 1 PowerShell alerts; 8 events after identity termination
EMP10006,ekta.kuruvilla30,Marketing,Manager,Active,1,1,6.0,3.0,2,1.0,61.5,72.0,1.0,3.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,,0,0,0,False,6.0,2.0,5.0,20.0,0.0,5,38.0,Medium,Medium,3 failed authentication events; 1 high-risk IAM events; 1 malware alerts; 1 credential-access alerts; 4 PowerShell alerts; 1 security-tampering alerts; 1 critical endpoint alerts
EMP10007,janya.bhatia21,Operations,Consultant,Active,1,1,3.0,0.0,0,0.0,48.33,66.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,,0,0,0,False,0.0,0.0,2.0,13.0,0.0,0,15.0,Low,Low,1 malware alerts; 2 security-tampering alerts
EMP10008,wakeeta.joshi82,Finance,Officer,Active,1,1,8.0,3.0,4,1.0,62.5,98.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,0,False,9.0,2.0,2.0,12.0,0.0,10,35.0,Medium,Medium,"elevated authentication risk (3 failed auth, 4 MFA failures); 1 high-risk IAM events; 1 malware alerts; 1 credential-access alerts"
EMP10009,waida.tandon82,Customer Support,Engineer,Active,1,0,2.0,0.0,0,1.0,43.5,72.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,0,False,0.0,2.0,2.0,12.0,0.0,0,16.0,Low,Low,1 high-risk IAM events; 2 malware alerts
EMP10010,jagvi.seth52,Marketing,Manager,Active,1,1,6.0,4.0,3,0.0,26.33,48.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,False,8.5,0.0,0.0,0.0,0.0,0,8.5,Low,Low,"elevated authentication risk (4 failed auth, 3 MFA failures)"
EMP10011,wriddhish.dey59,Finance,Administrator,Active,1,0,5.0,1.0,2,1.0,45.0,94.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,0,0,0,False,4.0,2.0,0.0,21.0,0.0,10,37.0,Medium,Medium,1 failed authentication events; 1 high-risk IAM events; 1 malware alerts; 1 credential-access alerts; 1 lateral-movement alerts; 1 PowerShell alerts
EMP10012,netra.vasa52,Operations,Engineer,Active,1,1,7.0,1.0,4,0.0,50.0,60.0,1.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,,0,0,0,False,7.0,0.0,2.0,15.0,0.0,0,24.0,Low,Low,1 failed authentication events; 1 credential-access alerts; 2 PowerShell alerts; 1 security-tampering alerts
EMP10013,azaan.bhagat20,Finance,Director,Active,1,1,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0,0,0,False,2.5,0.0,5.0,9.0,2.0,0,18.5,Low,Low,1 failed authentication events; 1 malware alerts; 1 PowerShell alerts; 1 critical endpoint alerts; 1 unresolved critical alerts
