full_name,role,user_id,department,location,status,hire_date,termination_date,username,hostname,device_id,manager_username,device_id_conflict,device_user_count
Omkaar Chana,Administrator,EMP12741,Supply Chain,Branch Office,Active,2025-01-11 06:52:43,,omkaar.chana52,LPT-12741,,manager780,False,0
Ethan Narasimhan,Manager,EMP11307,Legal,Head Office,Active,2026-05-18 23:12:00,,ethan.narasimhan97,VDR-11307,DEV42831,manager881,False,1
Ethan Choudhry,Director,EMP11601,Marketing,,Active,2023-01-14 09:22:00,,ethan.choudhry47,WS-11601,DEV40763,manager809,False,1
Vedant Panchal,Analyst,EMP12621,Customer Support,Head Office,Active,2022-06-29 19:36:39,,vedant_panchal60,LPT-12621,DEV95371,manager886,False,1
Gayathri Mohanty,Executive,EMP12029,R&D,Work From Home,Active,2021-09-01 00:00:00,,gayathri.mohanty65,LPT-12029,DEV51958,manager867,False,1
Garima Chaudhary,Executive,EMP11950,Customer Support,,Active,2023-12-30 17:13:00,,garima.chaudhary44,LPT-11950,DEV13049,manager521,False,1
Vrishti Dewan,Officer,EMP12718,Compliance,Warehouse,Active,2021-06-21 08:34:45,,vrishti.dewan18,LPT-12718,DEV46814,manager544,False,1
Varsha Mall,Director,EMP10184,IT,Remote,Active,2020-07-28 21:36:00,,,WS-10184,DEV12128,manager850,False,1
Peter Sama,Specialist,EMP12400,IT,Work From Home,Active,2026-06-13 19:10:36,,peter.sama77,VDR-12400,,manager829,False,0
Ayush Dua,Analyst,EMP10194,R&D,Branch Office,Active,2023-02-12 03:25:50,,ayush.dua87,LPT-10194,DEV40932,manager680,False,1
Abhimanyu Trivedi,Specialist,EMP12798,Sales,Data Center,Active,2026-04-13 04:15:33,,abhimanyu.trivedi4,WS-12798,DEV31013,manager344,False,1
Christopher Toor,Director,EMP11195,Legal,Work From Home,Active,2023-02-13 09:32:23,,christopher.toor37,VDR-11195,DEV99205,manager739,False,1
Urishilla Bhatt,Specialist,EMP11406,Sales,Regional Office,Active,2024-01-06 19:04:32,,urishilla.bhatt88,WS-11406,DEV78076,manager438,False,1
Girindra Dhaliwal,Specialist,EMP10314,R&D,Branch Office,Inactive,2025-01-07 14:08:35,2025-04-21 15:06:37,girindra.dhaliwal46,VDR-10314,DEV48986,manager344,False,1
Gaurangi Samra,Manager,EMP10102,Finance,Remote,Inactive,2024-04-26 11:39:00,2024-04-30 11:18:18,gaurangi.samra66,WS-10102,DEV54548,manager405,False,1
Waida Anand,Administrator,EMP11437,Operations,Branch Office,Active,2026-04-27 19:55:00,,waida.anand56,WS-11437,DEV76029,,False,1
Libni Lala,Engineer,EMP12959,Sales,Work From Home,Active,2022-03-28 23:25:36,,libni.lala75,VDR-12959,DEV19450,manager860,False,1
Qabil Lanka,Executive,EMP11221,Legal,Regional Office,Active,2022-09-15 09:06:54,,qabil.lanka74,WS-11221,DEV32769,manager547,False,1
Abha Naik,Executive,EMP12935,Procurement,Warehouse,Active,2022-01-19 00:00:00,,abha.naik17,WS-12935,DEV47829,,False,1
Bimala Raval,Specialist,EMP10705,Marketing,Remote,Active,,,bimala.raval96,LPT-10705,DEV92483,manager772,False,1
Tristan Ravi,Executive,EMP12234,Operations,Warehouse,Inactive,2026-07-07 20:26:00,,tristan.ravi53,WS-12234,DEV46572,,False,1
Edhitha Pathak,Director,EMP11973,R&D,Work From Home,Inactive,,,edhitha.pathak81,VDR-11973,DEV94430,,False,1
Anita Dutt,Engineer,EMP11517,Human Resources,Branch Office,Active,2026-07-09 04:27:00,,anita.dutt25,WS-11517,DEV75769,manager205,False,1
Aayush Koshy,Engineer,EMP12976,Sales,Data Center,Active,2023-10-03 18:58:14,,aayush.koshy48,VDR-12976,,,False,0
Idika Sani,Analyst,EMP12232,Operations,,Inactive,2025-07-23 00:00:00,2026-08-19 09:57:38,,WS-12232,DEV43610,manager419,False,1
Tanveer Ghose,Engineer,EMP10178,Operations,Head Office,Disabled,2025-07-12 08:34:52,2025-11-02 19:08:00,tanveer.ghose11,WS-10178,DEV22987,manager393,False,1
Urishilla Dugar,Consultant,EMP12030,Customer Support,Regional Office,Active,2021-08-01 14:51:03,,urishilla.dugar5,VDR-12030,DEV10085,manager911,False,1
Ronith Bhatti,Analyst,EMP12926,Sales,Branch Office,Active,2023-02-18 05:36:00,,ronith.bhatti96,VDR-12926,DEV21629,,False,1
Dhruv Cherian,Administrator,EMP10611,Procurement,Head Office,Active,,,,VDR-10611,DEV85534,,True,2
Ira Khanna,Trainee,EMP10679,IT,Regional Office,Active,2020-09-24 13:32:29,,ira.khanna17,LPT-10679,,manager283,False,0
Finn Vig,Engineer,EMP10152,Customer Support,Warehouse,Disabled,2020-08-11 00:00:00,,finn.vig49,VDR-10152,DEV97562,manager570,False,1
Aahana Seth,Engineer,EMP12484,Sales,Head Office,Active,,,aahana.seth4,VDR-12484,DEV38543,manager345,False,1
Darsh Patla,Manager,EMP11025,Finance,Regional Office,Active,2023-10-01 01:50:28,,darsh.patla51,LPT-11025,DEV98785,manager321,False,1
Sneha Loke,Executive,EMP10907,Finance,Work From Home,Disabled,2022-11-15 07:19:43,,sneha.loke46,VDR-10907,DEV14190,manager675,False,1
Wriddhish Arora,Consultant,EMP10254,Finance,Head Office,Active,2021-01-30 15:41:12,,wriddhish_arora70,LPT-10254,DEV80419,manager328,False,1
Harish Bhatia,Engineer,EMP12416,Legal,Head Office,Active,2026-06-11 00:00:00,,harish.bhatia99,,DEV87517,manager695,False,1
Shravya Mand,Consultant,EMP12332,People,Regional Office,Inactive,2024-09-30 12:03:44,2026-02-03 11:37:59,shravya.mand51,,DEV39132,unknown,False,1
Dipta Oza,Officer,EMP10346,Legal,Remote,Active,2023-08-09 00:03:30,,dipta_oza8,VDR-10346,DEV75673,manager184,False,1
Anmol Bhatt,Officer,EMP10299,Procurement,Branch Office,Active,2026-03-09 00:00:00,,anmol.bhatt26,VDR-10299,DEV82102,manager825,False,1
Girik Gaba,Officer,EMP12045,Innovation,Head Office,Active,2022-09-12 21:06:42,,girik.gaba54,LPT-12045,,manager735,False,0
Utkarsh Bakshi,Analyst,EMP11295,Legal,Head Office,Active,2021-07-25 19:18:38,,utkarsh.bakshi57,WS-11295,DEV63026,,False,1
Nandini Buch,Director,EMP11357,Compliance,Warehouse,Active,2026-07-28 12:35:07,,nandini.buch11,LPT-11357,,manager284,False,0
Rishi Contractor,Analyst,EMP11422,Customer Support,Warehouse,Active,2025-06-16 14:41:08,,rishi.contractor33,WS-11422,DEV14394,manager144,False,1
Chakrika Nagar,Manager,EMP12482,Marketing,Work From Home,Active,2022-07-21 22:31:07,,chakrika.nagar94,WS-12482,DEV25608,manager684,True,2
Isaac Dugar,Trainee,EMP10139,Legal,,Disabled,2023-05-23 19:28:38,2023-10-18 12:32:00,isaac.dugar28,,DEV54424,manager420,False,1
Gautam Dass,Trainee,EMP12603,Finance,Branch Office,Active,2022-08-10 22:55:29,,gautam.dass68,LPT-12603,DEV97646,manager793,False,1
Rohan Dash,Officer,EMP10246,Legal,Data Center,Disabled,2026-06-25 00:22:00,,rohan.dash48,VDR-10246,DEV97044,,False,1
Lohit Reddy,Trainee,EMP10900,Procurement,Branch Office,Active,2023-08-04 02:56:00,,lohit.reddy93,VDR-10900,DEV17956,manager666,False,1
Krishna Kata,Specialist,EMP12130,Customer Support,,Inactive,2020-12-13 20:05:49,2024-09-24 00:00:00,krishna.kata74,VDR-12130,DEV68796,unknown,False,1
Ayushman Varty,Executive,EMP11681,Sales,,Active,2023-07-04 21:58:23,,ayushman.varty42,VDR-11681,DEV87635,manager392,False,1
Bahadurjit Sridhar,Consultant,EMP12334,Sales,,Active,2021-11-04 05:38:50,,bahadurjit.sridhar62,WS-12334,DEV27173,unknown,False,1
Chanchal Tank,Specialist,EMP10889,Marketing,Head Office,Active,,,chanchal.tank46,VDR-10889,,manager905,False,0
Krishna Babu,Executive,EMP11268,Innovation,Head Office,Active,2020-03-05 16:57:44,,krishna.babu43,VDR-11268,DEV72206,manager370,False,1
Chatresh Varty,Analyst,EMP11926,Finance,Warehouse,Inactive,2021-01-27 19:05:07,2021-07-04 11:53:00,chatresh.varty75,,DEV80651,manager721,False,1
Ira Choudhury,Officer,EMP11620,R&D,Work From Home,Inactive,2025-09-08 00:00:00,2026-01-17 23:51:00,ira.choudhury44,WS-11620,DEV68711,manager244,False,1
Charles Brar,Administrator,EMP10700,Customer Support,,Active,2020-04-27 15:25:17,,charles.brar31,VDR-10700,DEV85543,manager821,False,1
Ekansh Ahuja,Director,EMP11061,Marketing,Data Center,Active,2025-05-31 07:55:55,,ekansh.ahuja25,VDR-11061,DEV91844,manager400,False,1
Hardik Kuruvilla,Manager,EMP10485,Customer Support,Work From Home,Active,,,hardik.kuruvilla24,VDR-10485,DEV30889,manager457,False,1
Jeet Tara,Specialist,EMP11356,Legal,Regional Office,Active,2022-06-10 00:00:00,,jeet.tara32,LPT-11356,,manager220,False,0
Zashil Chaudhari,Specialist,EMP12310,Operations,,Disabled,2021-07-29 21:47:57,2026-08-24 00:00:00,zashil.chaudhari74,VDR-12310,DEV21473,manager905,False,1
Hemal Kohli,Officer,EMP12181,Marketing,Warehouse,Active,2025-04-12 00:00:00,,hemal.kohli58,VDR-12181,DEV74389,manager186,False,1
Dayita Dasgupta,Analyst,EMP10761,R&D,Work From Home,Active,2025-11-16 00:00:00,,dayita.dasgupta48,,DEV19266,manager133,False,1
Oviya Acharya,Executive,EMP10746,People,,Active,2025-09-13 01:27:00,,oviya.acharya25,WS-10746,,unknown,False,0
Kalpit Mody,Officer,EMP10321,R&D,,Active,2024-08-14 08:55:54,,kalpit.mody99,LPT-10321,DEV85066,,False,1
Indira Pant,Engineer,EMP12707,Marketing,Regional Office,Active,2024-11-13 12:26:12,,indira.pant51,VDR-12707,DEV56397,manager574,False,1
Wakeeta Srivastava,Administrator,EMP10188,Sales,,Active,2021-01-21 17:31:44,,wakeeta.srivastava97,LPT-10188,DEV95948,,False,1
Gagan Bhandari,Consultant,EMP10772,Operations,Data Center,Active,2024-08-31 00:47:00,,gagan_bhandari75,VDR-10772,DEV97274,manager411,False,1
Anusha Bawa,Trainee,EMP12496,Supply Chain,Warehouse,Active,2023-02-26 10:56:13,,anusha.bawa86,WS-12496,DEV67414,,False,1
Arunima Dube,Trainee,EMP11451,Operations,Regional Office,Active,2025-03-05 14:42:50,,arunima.dube10,VDR-11451,DEV86864,manager340,False,1
Gagan Raman,Administrator,EMP12354,Operations,Branch Office,Active,2024-12-01 00:00:00,,gagan.raman49,LPT-12354,,manager286,False,0
Onveer Om,Specialist,EMP10410,Supply Chain,Data Center,Active,2021-03-22 22:25:57,,onveer.om63,LPT-10410,DEV32570,manager797,False,1
Bhavya Sem,Consultant,EMP11727,IT,Branch Office,On Leave,2026-04-23 20:04:58,,bhavya.sem13,VDR-11727,DEV35006,unknown,False,1
Warinder Wali,Administrator,EMP12852,R&D,,Inactive,2022-04-19 15:11:56,2025-12-29 01:06:14,warinder.wali82,LPT-12852,DEV27337,manager876,False,1
Urvashi Handa,Analyst,EMP12216,Customer Support,Work From Home,Inactive,2020-08-14 07:19:06,2023-09-10 00:00:00,urvashi.handa11,VDR-12216,DEV58305,manager421,False,1
Yauvani Chacko,Manager,EMP11398,Human Resources,,Inactive,2024-03-01 00:00:00,2024-07-10 02:35:24,yauvani_chacko81,LPT-11398,DEV37221,manager731,False,1
Inaya Sridhar,Consultant,EMP11361,Human Resources,Work From Home,Active,2020-11-30 20:02:48,,inaya.sridhar38,WS-11361,DEV87526,unknown,False,1
Yadavi Balay,Executive,EMP11657,Sales,,Active,2026-06-29 18:40:46,,yadavi.balay60,WS-11657,DEV51446,manager852,False,1
Ekbal Malhotra,Manager,EMP10051,Finance,,Active,2022-11-07 09:26:00,,ekbal.malhotra95,VDR-10051,DEV97012,manager869,False,1
Bishakha Ghose,Administrator,EMP11624,Sales,,Active,2020-09-12 00:00:00,,bishakha_ghose98,,DEV62984,manager603,False,1
Ira Tara,Director,EMP10063,People,Branch Office,Active,,,ira.tara4,,DEV33819,manager565,False,1
Tamanna Kala,Analyst,EMP12789,Legal,Data Center,Active,2021-02-03 00:00:00,,tamanna.kala64,VDR-12789,DEV80063,,False,1
Tanish Kurian,Specialist,EMP12553,IT,Remote,Disabled,2024-01-14 02:19:39,,tanish.kurian86,WS-12553,DEV68468,manager123,False,1
Wazir Das,Officer,EMP12530,Human Resources,,Active,2025-07-18 00:00:00,,wazir.das67,LPT-12530,DEV81876,manager624,False,1
Pahal Bajwa,Trainee,EMP11090,Legal,Remote,On Leave,2025-07-21 04:04:10,,pahal.bajwa31,VDR-11090,,manager894,False,0
Brinda Chauhan,Specialist,EMP11465,Customer Support,Data Center,Active,2020-04-28 22:54:00,,brinda.chauhan94,LPT-11465,DEV20031,manager841,False,1
Urmi Pall,Engineer,EMP11896,Finance,Data Center,Inactive,2025-08-19 16:55:56,2026-02-25 13:56:11,urmi.pall82,WS-11896,,unknown,False,0
Anirudh Ramanathan,Engineer,EMP10052,Marketing,,Active,2022-01-30 16:46:59,,anirudh.ramanathan31,LPT-10052,DEV29313,unknown,False,1
Damyanti Wali,Executive,EMP12807,Sales,Regional Office,Active,2023-06-06 22:34:43,,damyanti.wali52,LPT-12807,DEV24606,manager565,False,1
Sanaya Kale,Officer,EMP12763,Marketing,Warehouse,Active,2026-02-05 04:10:52,,sanaya.kale52,LPT-12763,DEV25578,manager610,False,1
Warinder Jaggi,Administrator,EMP12551,Sales,Remote,Active,2020-10-15 00:00:00,,warinder.jaggi19,LPT-12551,DEV34073,manager115,False,1
Pooja Choudhary,Trainee,EMP12864,Marketing,Remote,Active,,,pooja.choudhary68,LPT-12864,DEV93489,manager864,False,1
Harita Sura,Administrator,EMP10544,Human Resources,Head Office,Disabled,2021-11-15 16:53:49,2023-10-31 01:43:49,harita.sura62,WS-10544,DEV93055,,False,1
Aadi Mohan,Consultant,EMP12948,Operations,Head Office,Disabled,2022-04-22 00:00:00,2024-06-25 00:00:00,aadi.mohan96,VDR-12948,DEV37300,unknown,False,1
Charles Mohanty,Executive,EMP10450,Finance,Remote,On Leave,,,charles.mohanty2,WS-10450,,,False,0
Onveer Wason,Manager,EMP12515,Sales,,Disabled,2022-01-13 19:36:00,2023-08-14 12:06:35,onveer.wason58,WS-12515,DEV60572,manager908,False,1
Gopal Lala,Administrator,EMP10044,Human Resources,,Active,2024-07-23 23:08:34,,gopal.lala36,VDR-10044,DEV76768,manager128,False,1
Aarush Prashad,Executive,EMP11001,Procurement,Work From Home,Inactive,2020-01-27 12:19:55,2022-06-21 04:14:18,aarush.prashad25,VDR-11001,DEV81188,,False,1
Chaaya Vasa,Engineer,EMP11831,Supply Chain,Branch Office,Active,2022-10-16 12:54:27,,,LPT-11831,DEV66868,unknown,False,1
Chaman Goda,Specialist,EMP10829,Legal,Warehouse,Active,2023-12-30 07:21:46,,chaman.goda59,WS-10829,DEV44946,manager424,False,1
Ekalinga Walla,Consultant,EMP10598,IT,Branch Office,Active,2021-10-10 00:00:00,,ekalinga.walla33,VDR-10598,,manager952,False,0
Akshay Sarraf,Specialist,EMP10408,Procurement,Warehouse,Active,2021-04-05 10:34:24,,akshay.sarraf2,WS-10408,DEV24748,manager696,False,1
Charita Mannan,Officer,EMP12917,Sales,Remote,Active,,,charita.mannan95,VDR-12917,DEV46720,manager621,False,1
Naveen Bhagat,Consultant,EMP10256,R&D,Branch Office,Inactive,,2026-03-08 19:50:49,naveen.bhagat32,WS-10256,,unknown,False,0
Neha Devan,Officer,EMP12028,Supply Chain,Data Center,Active,2025-04-21 14:03:42,,neha_devan64,WS-12028,DEV81037,manager546,False,1
Lila Srinivasan,Administrator,EMP12303,Finance,,Active,,,lila_srinivasan31,LPT-12303,DEV57924,manager330,False,1
Qabil Parikh,Specialist,EMP11837,Sales,Work From Home,Active,,,qabil.parikh37,LPT-11837,DEV54054,,False,1
Hemang Bakshi,Engineer,EMP11702,Customer Support,Work From Home,On Leave,2025-01-30 15:19:49,,hemang.bakshi78,VDR-11702,,manager402,False,0
Laban Sridhar,Trainee,EMP12490,Human Resources,Data Center,Inactive,2025-01-14 19:14:46,2026-04-17 04:12:42,laban.sridhar64,VDR-12490,,unknown,False,0
Aishani Dugal,Manager,EMP11662,Sales,Regional Office,Active,2020-05-02 08:15:44,,aishani.dugal36,,DEV68314,manager490,False,1
