user_id_clean,alert_count,critical_alert_count,high_alert_count,unresolved_alert_count,unresolved_critical_count,malware_or_ransomware_count,powershell_count,lateral_movement_count,credential_access_count,tampering_count,usb_count,impossible_resolution_count,inactive_user_activity_count,identity_join_review_count,associated_user_count,risk_score,risk_reasons,critical_severity_points,high_severity_points,unresolved_critical_points,malware_ransomware_points,powershell_points,lateral_movement_points,credential_access_points,tampering_points,usb_points,impossible_resolution_points,inactive_user_points,identity_review_points,risk_band,full_name,department,employee_status
EMP11374,8,1,2,6,1,3,0,1,1,0,1,0,8,8,1,60,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 8 inactive-user event(s); 8 identity review concern(s),5,6,3,9,0,2,2,0,1,0,24,8,Critical,Vyanjana Ahuja,Hr,Inactive
EMP11218,5,3,1,5,3,2,0,1,1,0,1,0,5,1,1,54,3 critical alert(s); 3 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 1 identity review concern(s),15,3,9,6,0,2,2,0,1,0,15,1,Critical,Karan Goda,Mkt,Disabled
EMP10099,6,2,1,6,2,2,0,1,1,0,1,0,6,5,1,53,2 critical alert(s); 2 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s); 5 identity review concern(s),10,3,6,6,0,2,2,0,1,0,18,5,Critical,Dev Kanda,Rnd,Disabled
EMP12745,6,0,4,4,0,3,1,1,1,0,0,1,6,6,1,52,3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s); 6 identity review concern(s),0,12,0,9,2,2,2,0,0,1,18,6,Critical,Prisha Sarkar,Cs,Disabled
EMP10562,8,0,1,8,0,0,2,2,3,0,1,0,8,8,1,50,2 PowerShell alert(s); 2 lateral-movement alert(s); 3 credential-access alert(s); 8 inactive-user event(s); 8 identity review concern(s),0,3,0,0,4,4,6,0,1,0,24,8,Critical,Manan Desai,Purch,Inactive
EMP10238,7,1,2,3,1,3,3,0,0,0,0,0,7,0,1,50,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 3 PowerShell alert(s); 7 inactive-user event(s),5,6,3,9,6,0,0,0,0,0,21,0,Critical,Sanya Narang,Legal,Inactive
EMP10300,7,0,4,5,0,2,1,3,0,0,1,1,7,1,1,50,2 malware/ransomware alert(s); 1 PowerShell alert(s); 3 lateral-movement alert(s); 7 inactive-user event(s); 1 identity review concern(s),0,12,0,6,2,6,0,0,1,1,21,1,Critical,Adweta Kaur,Rnd,Disabled
EMP11376,7,0,3,5,0,3,0,1,1,0,0,0,7,6,1,49,3 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 7 inactive-user event(s); 6 identity review concern(s),0,9,0,9,0,2,2,0,0,0,21,6,Critical,Matthew Dalal,R&D,Inactive
EMP10394,9,2,3,6,2,4,0,2,2,0,1,1,0,1,1,48,2 critical alert(s); 2 unresolved critical alert(s); 4 malware/ransomware alert(s); 2 lateral-movement alert(s); 2 credential-access alert(s); 1 identity review concern(s),10,9,6,12,0,4,4,0,1,1,0,1,Critical,Kiaan Suri,Human Resource,
EMP12446,7,1,2,5,1,2,1,1,1,0,0,0,7,1,1,48,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 7 inactive-user event(s); 1 identity review concern(s),5,6,3,6,2,2,2,0,0,0,21,1,Critical,Aradhana Saha,Human Resource,Disabled
EMP11757,6,1,2,4,1,4,1,0,0,0,0,0,6,0,1,46,1 critical alert(s); 1 unresolved critical alert(s); 4 malware/ransomware alert(s); 1 PowerShell alert(s); 6 inactive-user event(s),5,6,3,12,2,0,0,0,0,0,18,0,Critical,Yashvi Sanghvi,It Support,Inactive
