user_id,username,department,role,status,hostname_count,device_count,iam_events,iam_failed_auth,iam_mfa_failures,iam_high_risk_events,iam_avg_risk_score,iam_max_risk_score,iam_hostname_count,iam_session_count,endpoint_alerts,endpoint_critical_alerts,endpoint_high_alerts,endpoint_unresolved_critical,endpoint_malware_alerts,endpoint_credential_alerts,endpoint_lateral_movement,endpoint_powershell,endpoint_tampering,endpoint_usb,endpoint_impossible_resolution,endpoint_hostname_count,termination_date,post_termination_iam_events,post_termination_endpoint_events,post_termination_activity,post_termination_activity_flag,authentication_risk,iam_risk,endpoint_severity_risk,threat_behavior_risk,contextual_risk,cross_signal_bonus,risk_score,risk_level,risk_band,risk_drivers
EMP11218,karan.goda65,Marketing,Administrator,Disabled,1,0,9.0,4.0,5,2.0,42.43,91.0,1.0,5.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2023-07-18 22:30:35,9,5,14,True,11.5,4.0,17.0,29.0,15.0,10,86.5,Critical,Critical,"elevated authentication risk (4 failed auth, 5 MFA failures); 2 high-risk IAM events; 2 malware alerts; 1 credential-access alerts; 1 lateral-movement alerts; 2 PowerShell alerts; 3 critical endpoint alerts; 14 events after identity termination; 3 unresolved critical alerts"
EMP10296,osha.kapur39,IT,Director,Disabled,1,1,78.0,34.0,37,22.0,54.65,100.0,1.0,48.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2024-08-19 18:56:50,70,3,73,True,20.0,20.0,7.0,14.0,12.0,10,83.0,Critical,Critical,"elevated authentication risk (34 failed auth, 37 MFA failures); 22 high-risk IAM events; 1 malware alerts; 1 lateral-movement alerts; 1 critical endpoint alerts; 73 events after identity termination; 1 unresolved critical alerts"
EMP11411,zaid.raval52,Brand,Officer,Active,1,1,73.0,24.0,34,14.0,47.36,99.0,1.0,37.0,5.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,,0,0,0,False,20.0,20.0,7.0,26.0,0.0,10,83.0,Critical,Critical,"elevated authentication risk (24 failed auth, 34 MFA failures); 14 high-risk IAM events; 2 malware alerts; 2 credential-access alerts; 1 lateral-movement alerts; 1 critical endpoint alerts"
EMP12579,balveer.nair93,IT,Executive,Active,1,1,63.0,23.0,22,16.0,46.4,98.0,1.0,33.0,5.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,0,0,0,False,20.0,20.0,7.0,25.0,0.0,10,82.0,Critical,Critical,"elevated authentication risk (23 failed auth, 22 MFA failures); 16 high-risk IAM events; 2 malware alerts; 1 credential-access alerts; 1 lateral-movement alerts; 1 critical endpoint alerts"
EMP12851,kamala.raman22,Supply Chain,Officer,Active,1,1,50.0,15.0,18,9.0,42.84,90.0,1.0,30.0,9.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,,0,0,0,False,20.0,20.0,2.0,30.0,0.0,10,82.0,Critical,Critical,"elevated authentication risk (15 failed auth, 18 MFA failures); 9 high-risk IAM events; 2 malware alerts; 3 credential-access alerts; 2 lateral-movement alerts; 1 PowerShell alerts"
EMP12603,gautam.dass68,Finance,Trainee,Active,1,1,60.0,17.0,18,15.0,53.57,100.0,1.0,34.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,0,0,0,False,20.0,20.0,7.0,22.0,2.0,10,81.0,Critical,Critical,"elevated authentication risk (17 failed auth, 18 MFA failures); 15 high-risk IAM events; 2 malware alerts; 1 credential-access alerts; 1 PowerShell alerts; 1 critical endpoint alerts; 1 unresolved critical alerts"
EMP10194,ayush.dua87,R&D,Analyst,Active,1,1,59.0,21.0,22,13.0,44.16,99.0,1.0,36.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,0,0,0,False,20.0,20.0,9.0,20.0,2.0,8,79.0,Critical,Critical,"elevated authentication risk (21 failed auth, 22 MFA failures); 13 high-risk IAM events; 2 malware alerts; 1 PowerShell alerts; 2 security-tampering alerts; 1 critical endpoint alerts; 1 unresolved critical alerts"
EMP10912,mohammed.devan20,Operations,Consultant,Disabled,1,1,71.0,25.0,25,21.0,57.56,100.0,1.0,32.0,7.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,,0,0,0,False,20.0,20.0,5.0,21.0,2.0,10,78.0,Critical,Critical,"elevated authentication risk (25 failed auth, 25 MFA failures); 21 high-risk IAM events; 2 malware alerts; 2 lateral-movement alerts; 1 critical endpoint alerts; 1 unresolved critical alerts"
EMP11241,bhavani.shetty89,IT,Consultant,Disabled,1,0,62.0,15.0,20,15.0,54.36,100.0,1.0,31.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2025-04-04 00:00:00,54,3,57,True,20.0,20.0,7.0,10.0,12.0,8,77.0,Critical,Critical,"elevated authentication risk (15 failed auth, 20 MFA failures); 15 high-risk IAM events; 1 malware alerts; 2 PowerShell alerts; 1 critical endpoint alerts; 57 events after identity termination; 1 unresolved critical alerts"
EMP12738,devika.bhargava75,Procurement,Executive,Active,1,1,65.0,20.0,28,20.0,50.48,100.0,1.0,38.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,,0,0,0,False,20.0,20.0,7.0,18.0,2.0,10,77.0,Critical,Critical,"elevated authentication risk (20 failed auth, 28 MFA failures); 20 high-risk IAM events; 1 malware alerts; 1 lateral-movement alerts; 1 security-tampering alerts; 1 critical endpoint alerts; 1 unresolved critical alerts"
EMP10014,ridhi.saini2,People,Officer,Active,1,1,76.0,23.0,19,17.0,49.86,99.0,1.0,44.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,0,0,0,False,20.0,20.0,2.0,23.0,0.0,10,75.0,Critical,Critical,"elevated authentication risk (23 failed auth, 19 MFA failures); 17 high-risk IAM events; 2 malware alerts; 1 lateral-movement alerts; 1 security-tampering alerts"
EMP10251,aarini.memon10,IT,Director,Active,1,1,63.0,20.0,29,15.0,48.67,97.0,1.0,34.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,,0,0,0,False,20.0,20.0,10.0,12.0,4.0,8,74.0,High,High,"elevated authentication risk (20 failed auth, 29 MFA failures); 15 high-risk IAM events; 1 lateral-movement alerts; 2 PowerShell alerts; 2 critical endpoint alerts; 2 unresolved critical alerts"
EMP10800,naveen.bains15,Finance,Analyst,Active,1,0,9.0,6.0,4,5.0,76.43,100.0,1.0,4.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,,0,0,0,False,12.0,15.0,10.0,23.0,2.0,10,72.0,High,High,"elevated authentication risk (6 failed auth, 4 MFA failures); 5 high-risk IAM events; 1 malware alerts; 1 credential-access alerts; 1 lateral-movement alerts; 1 PowerShell alerts; 1 critical endpoint alerts; 1 unresolved critical alerts"
EMP10044,gopal.lala36,Human Resources,Administrator,Active,1,1,66.0,17.0,30,21.0,59.71,100.0,1.0,38.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,,0,0,0,False,20.0,20.0,2.0,20.0,0.0,10,72.0,High,High,"elevated authentication risk (17 failed auth, 30 MFA failures); 21 high-risk IAM events; 2 malware alerts; 2 lateral-movement alerts"
EMP12425,jeet.rajagopalan64,R&D,Officer,Active,1,1,67.0,26.0,25,12.0,45.31,100.0,1.0,34.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,0,False,20.0,20.0,7.0,12.0,2.0,10,71.0,High,High,"elevated authentication risk (26 failed auth, 25 MFA failures); 12 high-risk IAM events; 1 malware alerts; 1 credential-access alerts; 1 critical endpoint alerts; 1 unresolved critical alerts"
EMP10781,,Innovation,Consultant,Active,1,1,57.0,21.0,22,15.0,51.81,98.0,1.0,34.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,0,0,0,False,20.0,20.0,0.0,21.0,0.0,10,71.0,High,High,"elevated authentication risk (21 failed auth, 22 MFA failures); 15 high-risk IAM events; 2 malware alerts; 1 credential-access alerts; 1 PowerShell alerts"
EMP11117,yagnesh.bhardwaj90,Customer Support,Consultant,On Leave,1,0,63.0,25.0,28,14.0,51.11,99.0,1.0,38.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,0,0,0,False,20.0,20.0,0.0,21.0,0.0,10,71.0,High,High,"elevated authentication risk (25 failed auth, 28 MFA failures); 14 high-risk IAM events; 2 malware alerts; 1 lateral-movement alerts; 1 PowerShell alerts"
EMP10029,victor.guha7,Procurement,Trainee,Active,1,1,8.0,3.0,2,4.0,55.75,98.0,1.0,3.0,7.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,,0,0,0,False,6.0,8.0,12.0,30.0,4.0,10,70.0,High,High,3 failed authentication events; 4 high-risk IAM events; 2 malware alerts; 1 credential-access alerts; 2 lateral-movement alerts; 1 PowerShell alerts; 1 security-tampering alerts; 2 critical endpoint alerts; 2 unresolved critical alerts
EMP10099,dev.kanda57,R&D,Manager,Disabled,1,0,8.0,2.0,2,2.0,38.67,94.0,1.0,5.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2026-08-16 00:00:00,4,2,6,True,5.0,4.0,12.0,25.0,14.0,10,70.0,High,High,2 failed authentication events; 2 high-risk IAM events; 2 malware alerts; 1 credential-access alerts; 1 lateral-movement alerts; 2 critical endpoint alerts; 6 events after identity termination; 2 unresolved critical alerts
EMP11005,xalak.gill58,Customer Support,Analyst,Inactive,1,1,60.0,21.0,25,14.0,56.02,99.0,1.0,31.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,0,0,0,False,20.0,20.0,2.0,18.0,0.0,10,70.0,High,High,"elevated authentication risk (21 failed auth, 25 MFA failures); 14 high-risk IAM events; 2 malware alerts; 1 lateral-movement alerts"
EMP11210,warda.bora45,Sales,Engineer,Active,1,1,7.0,3.0,6,2.0,42.71,88.0,1.0,4.0,7.0,2.0,2.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,,0,0,0,False,12.0,4.0,14.0,27.0,2.0,10,69.0,High,High,"elevated authentication risk (3 failed auth, 6 MFA failures); 2 high-risk IAM events; 4 malware alerts; 1 lateral-movement alerts; 3 PowerShell alerts; 1 security-tampering alerts; 2 critical endpoint alerts; 1 unresolved critical alerts"
